,date,title,summary
1695,2017.02.15.,<믹스트존>‘타이브레이커’ 첫 신설… 연장전도 ‘11회부터 승부치기’,거론되는 베네수엘라의 에이스 펠릭스 에르난데스(시애틀 매리너스). 월드베이스볼클래식 오는 3월 야구 국가대항전 월드베이스볼클래식(WBC)이 열린다. 올해 WBC는 처음으로 국내에서 열린다. 고척스카이돔이...
1696,2017.02.15.,부통령 마약제재로 미ㆍ베네수엘라 갈등,美 “수년간 조사 결과로 조치”… 마두로 대통령 “강력한 방식 대응” 미국이 마약 밀매를 이유로 베네수엘라 부통령을 제재 대상에 올림에 따라 베네수엘라가 강하게 반발하고 나섰다. 이번 제재로 수십 년째...
1697,2017.02.17.,이재용 부회장 구속…삼성에 몰려오는 4대 먹구름,이미 독일 전자기업 지멘스가 2008년 중국 러시아 베네수엘라 멕시코 이스라엘 등에서 공무원들에게 총 14억달러의 뇌물을 건넨 혐의로 벌금 8억달러를 부과받은 바 있다. 게다가 벌금을 부과받은 기업은 미국 연방정부와...
1698,2017.02.17.,"[책과 삶]직업이 ‘독자’인 남자, 독서의 미로에서 길찾기",볼리비아에서 베네수엘라까지 2000여㎞의 여정은 책과 문서의 궤적이었다. 시력이 약해진 뒤 독서에 흥미를 잃은 볼리바르는 말했다. “좋은 책이 갈수록 줄어들고 있어.” 우리 주변에도 간혹 이런 말을 하는 사람들이...
1699,2017.02.19.,"[나의 삶 나의 길] ""사각 링엔 한방이 있지만 인생엔 한방이 없어요""",남이 도와줄 수 없지만 주먹하나로 부와 명예를 이룰 수 있는 매력도 있습니다. ” 이듬해 3월 폴리 파시레론(인도네시아)을 눕혀 1차 방어전에 성공한 그의 2차 방어전 상대는 강타자 오벨메히아스(베네수엘라)였다....
1700,2017.02.13.,[기획] 주요 산유국 감산 성공할까… 지구촌이 숨죽여 주시한다,"이라크와 아랍에미리트(UAE), 베네수엘라, 가봉의 이행률은 절반 이하였다. 월스트리트저널(WSJ)은 시장조사기관 BMI리서치를 인용해 지난달 아프리카에서 나이지리아와 리비아의 원유 생산량이 되레 늘었다고..."
1701,2017.02.13.,4회 연속 출전 ‘WBC의 사나이’ 김태균ㆍ오승환,또 2라운드에서 멕시코를 무너뜨린 역전 홈런과 베네수엘라전 쐐기 홈런으로 승리의 주역이 되면서 한국의 준우승 신화에 앞장섰다. 9경기에서 타율 3할4푼5리에 홈런(3개)ㆍ타점(11개)왕에 오르는 등 대표팀 야수...
1702,2017.02.13.,‘영원한 우승후보’ 브라질의 몰락,"에콰도르(+3)와 베네수엘라(+2), 아르헨티나(-3)가 골득실 차에 의해 2,3,4위를 차지했다. 브라질은 1승3무1패... 하지만 브라질은 콜롬비아와 득점 없이 비겼고, 5위였던 아르헨티나가 베네수엘라를 2-0으로 제압하면서..."
1703,2017.02.13.,[성일만 야구선임기자의 핀치히터] 2017 WBC “어게인 2006” 선동열의 ‘신의...,"미국과 일본은 물론 쿠바, 도미니카 공화국, 베네수엘라 등 강팀들이 즐비한 세계무대서 4위면 대단했다. 당시 한국팀 마운드에는 박찬호와 구대성, 김선우가 있었다. 이종범, 최희섭, 이승엽의 중심 타선도 역대..."
1704,2017.02.14.,"美, '마약 밀매' 베네수엘라 부통령 제재 대상에",강한 베네수엘라의 타렉 엘 아이사미 부통령을 테러리스트 지원 혐의로 제재 대상에 올렸다. 14일... 엘 아이사미 부통령은 미국이 제재한 베네수엘라 공직자 중 최고위직이다. 미국의 해외마약거물지정법(Foreign...
1705,2017.02.15.,<믹스트존>‘타이브레이커’ 첫 신설… 연장전도 ‘11회부터 승부치기’,거론되는 베네수엘라의 에이스 펠릭스 에르난데스(시애틀 매리너스). 월드베이스볼클래식 오는 3월 야구 국가대항전 월드베이스볼클래식(WBC)이 열린다. 올해 WBC는 처음으로 국내에서 열린다. 고척스카이돔이...
1706,2017.02.15.,부통령 마약제재로 미ㆍ베네수엘라 갈등,美 “수년간 조사 결과로 조치”… 마두로 대통령 “강력한 방식 대응” 미국이 마약 밀매를 이유로 베네수엘라 부통령을 제재 대상에 올림에 따라 베네수엘라가 강하게 반발하고 나섰다. 이번 제재로 수십 년째...
1707,2017.02.17.,이재용 부회장 구속…삼성에 몰려오는 4대 먹구름,이미 독일 전자기업 지멘스가 2008년 중국 러시아 베네수엘라 멕시코 이스라엘 등에서 공무원들에게 총 14억달러의 뇌물을 건넨 혐의로 벌금 8억달러를 부과받은 바 있다. 게다가 벌금을 부과받은 기업은 미국 연방정부와...
1708,2017.02.17.,"[책과 삶]직업이 ‘독자’인 남자, 독서의 미로에서 길찾기",볼리비아에서 베네수엘라까지 2000여㎞의 여정은 책과 문서의 궤적이었다. 시력이 약해진 뒤 독서에 흥미를 잃은 볼리바르는 말했다. “좋은 책이 갈수록 줄어들고 있어.” 우리 주변에도 간혹 이런 말을 하는 사람들이...
1709,2017.02.19.,"[나의 삶 나의 길] ""사각 링엔 한방이 있지만 인생엔 한방이 없어요""",남이 도와줄 수 없지만 주먹하나로 부와 명예를 이룰 수 있는 매력도 있습니다. ” 이듬해 3월 폴리 파시레론(인도네시아)을 눕혀 1차 방어전에 성공한 그의 2차 방어전 상대는 강타자 오벨메히아스(베네수엘라)였다....
1710,2017.02.13.,[기획] 주요 산유국 감산 성공할까… 지구촌이 숨죽여 주시한다,"이라크와 아랍에미리트(UAE), 베네수엘라, 가봉의 이행률은 절반 이하였다. 월스트리트저널(WSJ)은 시장조사기관 BMI리서치를 인용해 지난달 아프리카에서 나이지리아와 리비아의 원유 생산량이 되레 늘었다고..."
1711,2017.02.13.,4회 연속 출전 ‘WBC의 사나이’ 김태균ㆍ오승환,또 2라운드에서 멕시코를 무너뜨린 역전 홈런과 베네수엘라전 쐐기 홈런으로 승리의 주역이 되면서 한국의 준우승 신화에 앞장섰다. 9경기에서 타율 3할4푼5리에 홈런(3개)ㆍ타점(11개)왕에 오르는 등 대표팀 야수...
1712,2017.02.13.,‘영원한 우승후보’ 브라질의 몰락,"에콰도르(+3)와 베네수엘라(+2), 아르헨티나(-3)가 골득실 차에 의해 2,3,4위를 차지했다. 브라질은 1승3무1패... 하지만 브라질은 콜롬비아와 득점 없이 비겼고, 5위였던 아르헨티나가 베네수엘라를 2-0으로 제압하면서..."
1713,2017.02.13.,[성일만 야구선임기자의 핀치히터] 2017 WBC “어게인 2006” 선동열의 ‘신의...,"미국과 일본은 물론 쿠바, 도미니카 공화국, 베네수엘라 등 강팀들이 즐비한 세계무대서 4위면 대단했다. 당시 한국팀 마운드에는 박찬호와 구대성, 김선우가 있었다. 이종범, 최희섭, 이승엽의 중심 타선도 역대..."
1714,2017.02.14.,"美, '마약 밀매' 베네수엘라 부통령 제재 대상에",강한 베네수엘라의 타렉 엘 아이사미 부통령을 테러리스트 지원 혐의로 제재 대상에 올렸다. 14일... 엘 아이사미 부통령은 미국이 제재한 베네수엘라 공직자 중 최고위직이다. 미국의 해외마약거물지정법(Foreign...
1715,2017.02.15.,<믹스트존>‘타이브레이커’ 첫 신설… 연장전도 ‘11회부터 승부치기’,거론되는 베네수엘라의 에이스 펠릭스 에르난데스(시애틀 매리너스). 월드베이스볼클래식 오는 3월 야구 국가대항전 월드베이스볼클래식(WBC)이 열린다. 올해 WBC는 처음으로 국내에서 열린다. 고척스카이돔이...
1716,2017.02.15.,부통령 마약제재로 미ㆍ베네수엘라 갈등,美 “수년간 조사 결과로 조치”… 마두로 대통령 “강력한 방식 대응” 미국이 마약 밀매를 이유로 베네수엘라 부통령을 제재 대상에 올림에 따라 베네수엘라가 강하게 반발하고 나섰다. 이번 제재로 수십 년째...
1717,2017.02.17.,이재용 부회장 구속…삼성에 몰려오는 4대 먹구름,이미 독일 전자기업 지멘스가 2008년 중국 러시아 베네수엘라 멕시코 이스라엘 등에서 공무원들에게 총 14억달러의 뇌물을 건넨 혐의로 벌금 8억달러를 부과받은 바 있다. 게다가 벌금을 부과받은 기업은 미국 연방정부와...
1718,2017.02.17.,"[책과 삶]직업이 ‘독자’인 남자, 독서의 미로에서 길찾기",볼리비아에서 베네수엘라까지 2000여㎞의 여정은 책과 문서의 궤적이었다. 시력이 약해진 뒤 독서에 흥미를 잃은 볼리바르는 말했다. “좋은 책이 갈수록 줄어들고 있어.” 우리 주변에도 간혹 이런 말을 하는 사람들이...
1719,2017.02.19.,"[나의 삶 나의 길] ""사각 링엔 한방이 있지만 인생엔 한방이 없어요""",남이 도와줄 수 없지만 주먹하나로 부와 명예를 이룰 수 있는 매력도 있습니다. ” 이듬해 3월 폴리 파시레론(인도네시아)을 눕혀 1차 방어전에 성공한 그의 2차 방어전 상대는 강타자 오벨메히아스(베네수엘라)였다....
1720,2017.02.13.,[기획] 주요 산유국 감산 성공할까… 지구촌이 숨죽여 주시한다,"이라크와 아랍에미리트(UAE), 베네수엘라, 가봉의 이행률은 절반 이하였다. 월스트리트저널(WSJ)은 시장조사기관 BMI리서치를 인용해 지난달 아프리카에서 나이지리아와 리비아의 원유 생산량이 되레 늘었다고..."
1721,2017.02.13.,4회 연속 출전 ‘WBC의 사나이’ 김태균ㆍ오승환,또 2라운드에서 멕시코를 무너뜨린 역전 홈런과 베네수엘라전 쐐기 홈런으로 승리의 주역이 되면서 한국의 준우승 신화에 앞장섰다. 9경기에서 타율 3할4푼5리에 홈런(3개)ㆍ타점(11개)왕에 오르는 등 대표팀 야수...
1722,2017.02.13.,‘영원한 우승후보’ 브라질의 몰락,"에콰도르(+3)와 베네수엘라(+2), 아르헨티나(-3)가 골득실 차에 의해 2,3,4위를 차지했다. 브라질은 1승3무1패... 하지만 브라질은 콜롬비아와 득점 없이 비겼고, 5위였던 아르헨티나가 베네수엘라를 2-0으로 제압하면서..."
1723,2017.02.13.,[성일만 야구선임기자의 핀치히터] 2017 WBC “어게인 2006” 선동열의 ‘신의...,"미국과 일본은 물론 쿠바, 도미니카 공화국, 베네수엘라 등 강팀들이 즐비한 세계무대서 4위면 대단했다. 당시 한국팀 마운드에는 박찬호와 구대성, 김선우가 있었다. 이종범, 최희섭, 이승엽의 중심 타선도 역대..."
1724,2017.02.14.,"美, '마약 밀매' 베네수엘라 부통령 제재 대상에",강한 베네수엘라의 타렉 엘 아이사미 부통령을 테러리스트 지원 혐의로 제재 대상에 올렸다. 14일... 엘 아이사미 부통령은 미국이 제재한 베네수엘라 공직자 중 최고위직이다. 미국의 해외마약거물지정법(Foreign...
1725,2017.02.15.,<믹스트존>‘타이브레이커’ 첫 신설… 연장전도 ‘11회부터 승부치기’,거론되는 베네수엘라의 에이스 펠릭스 에르난데스(시애틀 매리너스). 월드베이스볼클래식 오는 3월 야구 국가대항전 월드베이스볼클래식(WBC)이 열린다. 올해 WBC는 처음으로 국내에서 열린다. 고척스카이돔이...
1726,2017.02.15.,부통령 마약제재로 미ㆍ베네수엘라 갈등,美 “수년간 조사 결과로 조치”… 마두로 대통령 “강력한 방식 대응” 미국이 마약 밀매를 이유로 베네수엘라 부통령을 제재 대상에 올림에 따라 베네수엘라가 강하게 반발하고 나섰다. 이번 제재로 수십 년째...
1727,2017.02.17.,이재용 부회장 구속…삼성에 몰려오는 4대 먹구름,이미 독일 전자기업 지멘스가 2008년 중국 러시아 베네수엘라 멕시코 이스라엘 등에서 공무원들에게 총 14억달러의 뇌물을 건넨 혐의로 벌금 8억달러를 부과받은 바 있다. 게다가 벌금을 부과받은 기업은 미국 연방정부와...
1728,2017.02.17.,"[책과 삶]직업이 ‘독자’인 남자, 독서의 미로에서 길찾기",볼리비아에서 베네수엘라까지 2000여㎞의 여정은 책과 문서의 궤적이었다. 시력이 약해진 뒤 독서에 흥미를 잃은 볼리바르는 말했다. “좋은 책이 갈수록 줄어들고 있어.” 우리 주변에도 간혹 이런 말을 하는 사람들이...
1729,2017.02.19.,"[나의 삶 나의 길] ""사각 링엔 한방이 있지만 인생엔 한방이 없어요""",남이 도와줄 수 없지만 주먹하나로 부와 명예를 이룰 수 있는 매력도 있습니다. ” 이듬해 3월 폴리 파시레론(인도네시아)을 눕혀 1차 방어전에 성공한 그의 2차 방어전 상대는 강타자 오벨메히아스(베네수엘라)였다....
1730,2017.02.13.,[기획] 주요 산유국 감산 성공할까… 지구촌이 숨죽여 주시한다,"이라크와 아랍에미리트(UAE), 베네수엘라, 가봉의 이행률은 절반 이하였다. 월스트리트저널(WSJ)은 시장조사기관 BMI리서치를 인용해 지난달 아프리카에서 나이지리아와 리비아의 원유 생산량이 되레 늘었다고..."
1731,2017.02.13.,4회 연속 출전 ‘WBC의 사나이’ 김태균ㆍ오승환,또 2라운드에서 멕시코를 무너뜨린 역전 홈런과 베네수엘라전 쐐기 홈런으로 승리의 주역이 되면서 한국의 준우승 신화에 앞장섰다. 9경기에서 타율 3할4푼5리에 홈런(3개)ㆍ타점(11개)왕에 오르는 등 대표팀 야수...
1732,2017.02.13.,‘영원한 우승후보’ 브라질의 몰락,"에콰도르(+3)와 베네수엘라(+2), 아르헨티나(-3)가 골득실 차에 의해 2,3,4위를 차지했다. 브라질은 1승3무1패... 하지만 브라질은 콜롬비아와 득점 없이 비겼고, 5위였던 아르헨티나가 베네수엘라를 2-0으로 제압하면서..."
1733,2017.02.13.,[성일만 야구선임기자의 핀치히터] 2017 WBC “어게인 2006” 선동열의 ‘신의...,"미국과 일본은 물론 쿠바, 도미니카 공화국, 베네수엘라 등 강팀들이 즐비한 세계무대서 4위면 대단했다. 당시 한국팀 마운드에는 박찬호와 구대성, 김선우가 있었다. 이종범, 최희섭, 이승엽의 중심 타선도 역대..."
1734,2017.02.14.,"美, '마약 밀매' 베네수엘라 부통령 제재 대상에",강한 베네수엘라의 타렉 엘 아이사미 부통령을 테러리스트 지원 혐의로 제재 대상에 올렸다. 14일... 엘 아이사미 부통령은 미국이 제재한 베네수엘라 공직자 중 최고위직이다. 미국의 해외마약거물지정법(Foreign...
1735,2017.02.15.,<믹스트존>‘타이브레이커’ 첫 신설… 연장전도 ‘11회부터 승부치기’,거론되는 베네수엘라의 에이스 펠릭스 에르난데스(시애틀 매리너스). 월드베이스볼클래식 오는 3월 야구 국가대항전 월드베이스볼클래식(WBC)이 열린다. 올해 WBC는 처음으로 국내에서 열린다. 고척스카이돔이...
1736,2017.02.15.,부통령 마약제재로 미ㆍ베네수엘라 갈등,美 “수년간 조사 결과로 조치”… 마두로 대통령 “강력한 방식 대응” 미국이 마약 밀매를 이유로 베네수엘라 부통령을 제재 대상에 올림에 따라 베네수엘라가 강하게 반발하고 나섰다. 이번 제재로 수십 년째...
1737,2017.02.17.,이재용 부회장 구속…삼성에 몰려오는 4대 먹구름,이미 독일 전자기업 지멘스가 2008년 중국 러시아 베네수엘라 멕시코 이스라엘 등에서 공무원들에게 총 14억달러의 뇌물을 건넨 혐의로 벌금 8억달러를 부과받은 바 있다. 게다가 벌금을 부과받은 기업은 미국 연방정부와...
1738,2017.02.17.,"[책과 삶]직업이 ‘독자’인 남자, 독서의 미로에서 길찾기",볼리비아에서 베네수엘라까지 2000여㎞의 여정은 책과 문서의 궤적이었다. 시력이 약해진 뒤 독서에 흥미를 잃은 볼리바르는 말했다. “좋은 책이 갈수록 줄어들고 있어.” 우리 주변에도 간혹 이런 말을 하는 사람들이...
1739,2017.02.19.,"[나의 삶 나의 길] ""사각 링엔 한방이 있지만 인생엔 한방이 없어요""",남이 도와줄 수 없지만 주먹하나로 부와 명예를 이룰 수 있는 매력도 있습니다. ” 이듬해 3월 폴리 파시레론(인도네시아)을 눕혀 1차 방어전에 성공한 그의 2차 방어전 상대는 강타자 오벨메히아스(베네수엘라)였다....
1740,2017.02.13.,[기획] 주요 산유국 감산 성공할까… 지구촌이 숨죽여 주시한다,"이라크와 아랍에미리트(UAE), 베네수엘라, 가봉의 이행률은 절반 이하였다. 월스트리트저널(WSJ)은 시장조사기관 BMI리서치를 인용해 지난달 아프리카에서 나이지리아와 리비아의 원유 생산량이 되레 늘었다고..."
1741,2017.02.13.,4회 연속 출전 ‘WBC의 사나이’ 김태균ㆍ오승환,또 2라운드에서 멕시코를 무너뜨린 역전 홈런과 베네수엘라전 쐐기 홈런으로 승리의 주역이 되면서 한국의 준우승 신화에 앞장섰다. 9경기에서 타율 3할4푼5리에 홈런(3개)ㆍ타점(11개)왕에 오르는 등 대표팀 야수...
1742,2017.02.13.,‘영원한 우승후보’ 브라질의 몰락,"에콰도르(+3)와 베네수엘라(+2), 아르헨티나(-3)가 골득실 차에 의해 2,3,4위를 차지했다. 브라질은 1승3무1패... 하지만 브라질은 콜롬비아와 득점 없이 비겼고, 5위였던 아르헨티나가 베네수엘라를 2-0으로 제압하면서..."
1743,2017.02.13.,[성일만 야구선임기자의 핀치히터] 2017 WBC “어게인 2006” 선동열의 ‘신의...,"미국과 일본은 물론 쿠바, 도미니카 공화국, 베네수엘라 등 강팀들이 즐비한 세계무대서 4위면 대단했다. 당시 한국팀 마운드에는 박찬호와 구대성, 김선우가 있었다. 이종범, 최희섭, 이승엽의 중심 타선도 역대..."
1744,2017.02.14.,"美, '마약 밀매' 베네수엘라 부통령 제재 대상에",강한 베네수엘라의 타렉 엘 아이사미 부통령을 테러리스트 지원 혐의로 제재 대상에 올렸다. 14일... 엘 아이사미 부통령은 미국이 제재한 베네수엘라 공직자 중 최고위직이다. 미국의 해외마약거물지정법(Foreign...
1745,2017.02.15.,<믹스트존>‘타이브레이커’ 첫 신설… 연장전도 ‘11회부터 승부치기’,거론되는 베네수엘라의 에이스 펠릭스 에르난데스(시애틀 매리너스). 월드베이스볼클래식 오는 3월 야구 국가대항전 월드베이스볼클래식(WBC)이 열린다. 올해 WBC는 처음으로 국내에서 열린다. 고척스카이돔이...
1746,2017.02.15.,부통령 마약제재로 미ㆍ베네수엘라 갈등,美 “수년간 조사 결과로 조치”… 마두로 대통령 “강력한 방식 대응” 미국이 마약 밀매를 이유로 베네수엘라 부통령을 제재 대상에 올림에 따라 베네수엘라가 강하게 반발하고 나섰다. 이번 제재로 수십 년째...
1747,2017.02.17.,이재용 부회장 구속…삼성에 몰려오는 4대 먹구름,이미 독일 전자기업 지멘스가 2008년 중국 러시아 베네수엘라 멕시코 이스라엘 등에서 공무원들에게 총 14억달러의 뇌물을 건넨 혐의로 벌금 8억달러를 부과받은 바 있다. 게다가 벌금을 부과받은 기업은 미국 연방정부와...
1748,2017.02.17.,"[책과 삶]직업이 ‘독자’인 남자, 독서의 미로에서 길찾기",볼리비아에서 베네수엘라까지 2000여㎞의 여정은 책과 문서의 궤적이었다. 시력이 약해진 뒤 독서에 흥미를 잃은 볼리바르는 말했다. “좋은 책이 갈수록 줄어들고 있어.” 우리 주변에도 간혹 이런 말을 하는 사람들이...
1749,2017.02.19.,"[나의 삶 나의 길] ""사각 링엔 한방이 있지만 인생엔 한방이 없어요""",남이 도와줄 수 없지만 주먹하나로 부와 명예를 이룰 수 있는 매력도 있습니다. ” 이듬해 3월 폴리 파시레론(인도네시아)을 눕혀 1차 방어전에 성공한 그의 2차 방어전 상대는 강타자 오벨메히아스(베네수엘라)였다....
1750,2017.02.13.,[기획] 주요 산유국 감산 성공할까… 지구촌이 숨죽여 주시한다,"이라크와 아랍에미리트(UAE), 베네수엘라, 가봉의 이행률은 절반 이하였다. 월스트리트저널(WSJ)은 시장조사기관 BMI리서치를 인용해 지난달 아프리카에서 나이지리아와 리비아의 원유 생산량이 되레 늘었다고..."
1751,2017.02.13.,4회 연속 출전 ‘WBC의 사나이’ 김태균ㆍ오승환,또 2라운드에서 멕시코를 무너뜨린 역전 홈런과 베네수엘라전 쐐기 홈런으로 승리의 주역이 되면서 한국의 준우승 신화에 앞장섰다. 9경기에서 타율 3할4푼5리에 홈런(3개)ㆍ타점(11개)왕에 오르는 등 대표팀 야수...
1752,2017.02.13.,‘영원한 우승후보’ 브라질의 몰락,"에콰도르(+3)와 베네수엘라(+2), 아르헨티나(-3)가 골득실 차에 의해 2,3,4위를 차지했다. 브라질은 1승3무1패... 하지만 브라질은 콜롬비아와 득점 없이 비겼고, 5위였던 아르헨티나가 베네수엘라를 2-0으로 제압하면서..."
1753,2017.02.13.,[성일만 야구선임기자의 핀치히터] 2017 WBC “어게인 2006” 선동열의 ‘신의...,"미국과 일본은 물론 쿠바, 도미니카 공화국, 베네수엘라 등 강팀들이 즐비한 세계무대서 4위면 대단했다. 당시 한국팀 마운드에는 박찬호와 구대성, 김선우가 있었다. 이종범, 최희섭, 이승엽의 중심 타선도 역대..."
1754,2017.02.14.,"美, '마약 밀매' 베네수엘라 부통령 제재 대상에",강한 베네수엘라의 타렉 엘 아이사미 부통령을 테러리스트 지원 혐의로 제재 대상에 올렸다. 14일... 엘 아이사미 부통령은 미국이 제재한 베네수엘라 공직자 중 최고위직이다. 미국의 해외마약거물지정법(Foreign...
1755,2017.02.15.,<믹스트존>‘타이브레이커’ 첫 신설… 연장전도 ‘11회부터 승부치기’,거론되는 베네수엘라의 에이스 펠릭스 에르난데스(시애틀 매리너스). 월드베이스볼클래식 오는 3월 야구 국가대항전 월드베이스볼클래식(WBC)이 열린다. 올해 WBC는 처음으로 국내에서 열린다. 고척스카이돔이...
1756,2017.02.15.,부통령 마약제재로 미ㆍ베네수엘라 갈등,美 “수년간 조사 결과로 조치”… 마두로 대통령 “강력한 방식 대응” 미국이 마약 밀매를 이유로 베네수엘라 부통령을 제재 대상에 올림에 따라 베네수엘라가 강하게 반발하고 나섰다. 이번 제재로 수십 년째...
1757,2017.02.17.,이재용 부회장 구속…삼성에 몰려오는 4대 먹구름,이미 독일 전자기업 지멘스가 2008년 중국 러시아 베네수엘라 멕시코 이스라엘 등에서 공무원들에게 총 14억달러의 뇌물을 건넨 혐의로 벌금 8억달러를 부과받은 바 있다. 게다가 벌금을 부과받은 기업은 미국 연방정부와...
1758,2017.02.17.,"[책과 삶]직업이 ‘독자’인 남자, 독서의 미로에서 길찾기",볼리비아에서 베네수엘라까지 2000여㎞의 여정은 책과 문서의 궤적이었다. 시력이 약해진 뒤 독서에 흥미를 잃은 볼리바르는 말했다. “좋은 책이 갈수록 줄어들고 있어.” 우리 주변에도 간혹 이런 말을 하는 사람들이...
1759,2017.02.19.,"[나의 삶 나의 길] ""사각 링엔 한방이 있지만 인생엔 한방이 없어요""",남이 도와줄 수 없지만 주먹하나로 부와 명예를 이룰 수 있는 매력도 있습니다. ” 이듬해 3월 폴리 파시레론(인도네시아)을 눕혀 1차 방어전에 성공한 그의 2차 방어전 상대는 강타자 오벨메히아스(베네수엘라)였다....
1760,2017.02.13.,[기획] 주요 산유국 감산 성공할까… 지구촌이 숨죽여 주시한다,"이라크와 아랍에미리트(UAE), 베네수엘라, 가봉의 이행률은 절반 이하였다. 월스트리트저널(WSJ)은 시장조사기관 BMI리서치를 인용해 지난달 아프리카에서 나이지리아와 리비아의 원유 생산량이 되레 늘었다고..."
1761,2017.02.13.,4회 연속 출전 ‘WBC의 사나이’ 김태균ㆍ오승환,또 2라운드에서 멕시코를 무너뜨린 역전 홈런과 베네수엘라전 쐐기 홈런으로 승리의 주역이 되면서 한국의 준우승 신화에 앞장섰다. 9경기에서 타율 3할4푼5리에 홈런(3개)ㆍ타점(11개)왕에 오르는 등 대표팀 야수...
1762,2017.02.13.,‘영원한 우승후보’ 브라질의 몰락,"에콰도르(+3)와 베네수엘라(+2), 아르헨티나(-3)가 골득실 차에 의해 2,3,4위를 차지했다. 브라질은 1승3무1패... 하지만 브라질은 콜롬비아와 득점 없이 비겼고, 5위였던 아르헨티나가 베네수엘라를 2-0으로 제압하면서..."
1763,2017.02.13.,[성일만 야구선임기자의 핀치히터] 2017 WBC “어게인 2006” 선동열의 ‘신의...,"미국과 일본은 물론 쿠바, 도미니카 공화국, 베네수엘라 등 강팀들이 즐비한 세계무대서 4위면 대단했다. 당시 한국팀 마운드에는 박찬호와 구대성, 김선우가 있었다. 이종범, 최희섭, 이승엽의 중심 타선도 역대..."
1764,2017.02.14.,"美, '마약 밀매' 베네수엘라 부통령 제재 대상에",강한 베네수엘라의 타렉 엘 아이사미 부통령을 테러리스트 지원 혐의로 제재 대상에 올렸다. 14일... 엘 아이사미 부통령은 미국이 제재한 베네수엘라 공직자 중 최고위직이다. 미국의 해외마약거물지정법(Foreign...
1765,2017.02.15.,<믹스트존>‘타이브레이커’ 첫 신설… 연장전도 ‘11회부터 승부치기’,거론되는 베네수엘라의 에이스 펠릭스 에르난데스(시애틀 매리너스). 월드베이스볼클래식 오는 3월 야구 국가대항전 월드베이스볼클래식(WBC)이 열린다. 올해 WBC는 처음으로 국내에서 열린다. 고척스카이돔이...
1766,2017.02.15.,부통령 마약제재로 미ㆍ베네수엘라 갈등,美 “수년간 조사 결과로 조치”… 마두로 대통령 “강력한 방식 대응” 미국이 마약 밀매를 이유로 베네수엘라 부통령을 제재 대상에 올림에 따라 베네수엘라가 강하게 반발하고 나섰다. 이번 제재로 수십 년째...
1767,2017.02.17.,이재용 부회장 구속…삼성에 몰려오는 4대 먹구름,이미 독일 전자기업 지멘스가 2008년 중국 러시아 베네수엘라 멕시코 이스라엘 등에서 공무원들에게 총 14억달러의 뇌물을 건넨 혐의로 벌금 8억달러를 부과받은 바 있다. 게다가 벌금을 부과받은 기업은 미국 연방정부와...
1768,2017.02.17.,"[책과 삶]직업이 ‘독자’인 남자, 독서의 미로에서 길찾기",볼리비아에서 베네수엘라까지 2000여㎞의 여정은 책과 문서의 궤적이었다. 시력이 약해진 뒤 독서에 흥미를 잃은 볼리바르는 말했다. “좋은 책이 갈수록 줄어들고 있어.” 우리 주변에도 간혹 이런 말을 하는 사람들이...
1769,2017.02.19.,"[나의 삶 나의 길] ""사각 링엔 한방이 있지만 인생엔 한방이 없어요""",남이 도와줄 수 없지만 주먹하나로 부와 명예를 이룰 수 있는 매력도 있습니다. ” 이듬해 3월 폴리 파시레론(인도네시아)을 눕혀 1차 방어전에 성공한 그의 2차 방어전 상대는 강타자 오벨메히아스(베네수엘라)였다....
1770,2017.02.13.,[기획] 주요 산유국 감산 성공할까… 지구촌이 숨죽여 주시한다,"이라크와 아랍에미리트(UAE), 베네수엘라, 가봉의 이행률은 절반 이하였다. 월스트리트저널(WSJ)은 시장조사기관 BMI리서치를 인용해 지난달 아프리카에서 나이지리아와 리비아의 원유 생산량이 되레 늘었다고..."
1771,2017.02.13.,4회 연속 출전 ‘WBC의 사나이’ 김태균ㆍ오승환,또 2라운드에서 멕시코를 무너뜨린 역전 홈런과 베네수엘라전 쐐기 홈런으로 승리의 주역이 되면서 한국의 준우승 신화에 앞장섰다. 9경기에서 타율 3할4푼5리에 홈런(3개)ㆍ타점(11개)왕에 오르는 등 대표팀 야수...
1772,2017.02.13.,‘영원한 우승후보’ 브라질의 몰락,"에콰도르(+3)와 베네수엘라(+2), 아르헨티나(-3)가 골득실 차에 의해 2,3,4위를 차지했다. 브라질은 1승3무1패... 하지만 브라질은 콜롬비아와 득점 없이 비겼고, 5위였던 아르헨티나가 베네수엘라를 2-0으로 제압하면서..."
1773,2017.02.13.,[성일만 야구선임기자의 핀치히터] 2017 WBC “어게인 2006” 선동열의 ‘신의...,"미국과 일본은 물론 쿠바, 도미니카 공화국, 베네수엘라 등 강팀들이 즐비한 세계무대서 4위면 대단했다. 당시 한국팀 마운드에는 박찬호와 구대성, 김선우가 있었다. 이종범, 최희섭, 이승엽의 중심 타선도 역대..."
1774,2017.02.14.,"美, '마약 밀매' 베네수엘라 부통령 제재 대상에",강한 베네수엘라의 타렉 엘 아이사미 부통령을 테러리스트 지원 혐의로 제재 대상에 올렸다. 14일... 엘 아이사미 부통령은 미국이 제재한 베네수엘라 공직자 중 최고위직이다. 미국의 해외마약거물지정법(Foreign...
